Test ID,Feature,Device Profile,Network/API State,Action,Expected Result,Priority,Notes
SM-P4-0001,Scanner,Android 9 low-end,Wi-Fi,Validate Scanner flow with realistic user input and edge-case handling,Friendly error,High,Record screenshot/logcat only if failure occurs
SM-P4-0002,Scanner,Android 10 mid-range,No API key,Validate Scanner flow with realistic user input and edge-case handling,Navigation stable,High,Record screenshot/logcat only if failure occurs
SM-P4-0003,Scanner,Android 11 Samsung,Airplane mode,Validate Scanner flow with realistic user input and edge-case handling,Memory safe,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0004,Scanner,Android 12 Material You,Wi-Fi,Validate Scanner flow with realistic user input and edge-case handling,Result shareable,High,Record screenshot/logcat only if failure occurs
SM-P4-0005,Scanner,Android 13 Pixel,No API key,Validate Scanner flow with realistic user input and edge-case handling,UI remains responsive,High,Record screenshot/logcat only if failure occurs
SM-P4-0006,Scanner,Android 14 modern,Airplane mode,Validate Scanner flow with realistic user input and edge-case handling,Friendly error,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0007,Gallery Import,Android 9 low-end,Wi-Fi,Validate Gallery Import flow with realistic user input and edge-case handling,Result shareable,High,Record screenshot/logcat only if failure occurs
SM-P4-0008,Gallery Import,Android 10 mid-range,No API key,Validate Gallery Import flow with realistic user input and edge-case handling,UI remains responsive,High,Record screenshot/logcat only if failure occurs
SM-P4-0009,Gallery Import,Android 11 Samsung,Airplane mode,Validate Gallery Import flow with realistic user input and edge-case handling,Friendly error,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0010,Gallery Import,Android 12 Material You,Wi-Fi,Validate Gallery Import flow with realistic user input and edge-case handling,Navigation stable,High,Record screenshot/logcat only if failure occurs
SM-P4-0011,Gallery Import,Android 13 Pixel,No API key,Validate Gallery Import flow with realistic user input and edge-case handling,Memory safe,High,Record screenshot/logcat only if failure occurs
SM-P4-0012,Gallery Import,Android 14 modern,Airplane mode,Validate Gallery Import flow with realistic user input and edge-case handling,Result shareable,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0013,OCR,Android 9 low-end,Wi-Fi,Validate OCR flow with realistic user input and edge-case handling,Navigation stable,High,Record screenshot/logcat only if failure occurs
SM-P4-0014,OCR,Android 10 mid-range,No API key,Validate OCR flow with realistic user input and edge-case handling,Memory safe,High,Record screenshot/logcat only if failure occurs
SM-P4-0015,OCR,Android 11 Samsung,Airplane mode,Validate OCR flow with realistic user input and edge-case handling,Result shareable,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0016,OCR,Android 12 Material You,Wi-Fi,Validate OCR flow with realistic user input and edge-case handling,UI remains responsive,High,Record screenshot/logcat only if failure occurs
SM-P4-0017,OCR,Android 13 Pixel,No API key,Validate OCR flow with realistic user input and edge-case handling,Friendly error,High,Record screenshot/logcat only if failure occurs
SM-P4-0018,OCR,Android 14 modern,Airplane mode,Validate OCR flow with realistic user input and edge-case handling,Navigation stable,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0019,OCR Translate,Android 9 low-end,Wi-Fi,Validate OCR Translate flow with realistic user input and edge-case handling,UI remains responsive,High,Record screenshot/logcat only if failure occurs
SM-P4-0020,OCR Translate,Android 10 mid-range,No API key,Validate OCR Translate flow with realistic user input and edge-case handling,Friendly error,High,Record screenshot/logcat only if failure occurs
SM-P4-0021,OCR Translate,Android 11 Samsung,Airplane mode,Validate OCR Translate flow with realistic user input and edge-case handling,Navigation stable,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0022,OCR Translate,Android 12 Material You,Wi-Fi,Validate OCR Translate flow with realistic user input and edge-case handling,Memory safe,High,Record screenshot/logcat only if failure occurs
SM-P4-0023,OCR Translate,Android 13 Pixel,No API key,Validate OCR Translate flow with realistic user input and edge-case handling,Result shareable,High,Record screenshot/logcat only if failure occurs
SM-P4-0024,OCR Translate,Android 14 modern,Airplane mode,Validate OCR Translate flow with realistic user input and edge-case handling,UI remains responsive,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0025,PDF Export,Android 9 low-end,Wi-Fi,Validate PDF Export flow with realistic user input and edge-case handling,Memory safe,High,Record screenshot/logcat only if failure occurs
SM-P4-0026,PDF Export,Android 10 mid-range,No API key,Validate PDF Export flow with realistic user input and edge-case handling,Result shareable,High,Record screenshot/logcat only if failure occurs
SM-P4-0027,PDF Export,Android 11 Samsung,Airplane mode,Validate PDF Export flow with realistic user input and edge-case handling,UI remains responsive,Medium,Record screenshot/logcat only if failure occurs
SM-P4-0028,PDF Export,Android 12 Material You,Wi-Fi,Validate PDF Export flow with realistic user input and edge-case handling,Friendly error,High,Record screenshot/logcat only if failure occurs
SM-P4-0029,PDF Export,Android 13 Pixel,No API key,Validate PDF Export flow with realistic user input and edge-case handling,Navigation stable,High,Record screenshot/logcat only if failure occurs
